Standard E (default)	100	4	0	9	0	2	1	7	1	11	1	4	2
Open E	0	4	0	11	0	4	1	8	1	11	1	4	2
E 7/9 (Lute)	0	4	0	9	0	2	1	6	1	11	1	4	2
E Drone	0	4	0	4	0	4	1	4	1	4	2	4	2
E Minor	0	4	0	11	0	4	1	7	1	11	1	4	2
E Power Chord	0	4	0	4	0	11	0	11	0	4	2	4	2
High Strung	0	4	2	9	1	2	2	7	2	11	1	4	2
Standard Eb	0	3	0	8	0	1	1	6	1	10	1	3	2
Eb min/maj7	0	3	0	10	0	10	0	6	1	10	1	2	2
Standard D	0	2	0	7	0	0	1	5	1	9	1	2	2
Open D	0	2	0	9	0	2	1	6	1	9	1	2	2
Drop D	0	2	0	9	0	2	1	7	1	11	1	4	2
Double Drop D	0	2	0	9	0	2	1	7	1	11	1	2	2
D Suspended	0	2	0	9	0	2	1	7	1	9	1	2	2
D 6th	0	2	0	9	0	2	1	6	1	11	1	2	2
D 6/9	0	2	0	9	0	2	1	6	1	11	1	4	2
D7	0	2	0	9	0	2	1	9	1	0	2	2	2
D7 sus4	0	2	0	7	0	0	1	7	1	0	2	2	2
Standard Db	0	1	0	6	0	10	0	4	1	8	1	1	2
Drop Db	0	1	0	8	0	1	1	6	1	10	1	3	2
Standard 0	0	0	0	5	0	10	0	3	1	7	1	0	2
Open C	0	0	0	7	0	0	1	7	1	0	2	4	2
Drop C	0	0	0	7	0	0	1	5	1	9	1	2	2
C6th	0	0	0	9	0	0	1	7	1	0	2	4	2
C6th (Mauna Loa)	0	0	0	7	0	0	1	7	1	9	1	4	2
Cmaj7 (Grabby)	0	0	0	7	0	4	1	7	1	11	1	4	2
Cmaj7/9	0	0	0	7	0	2	1	7	1	11	1	4	2
Cmaj7/11	0	0	0	5	0	0	1	7	1	11	1	4	2
Cryil C	0	0	0	7	0	4	1	7	1	0	2	4	2
C6/9	0	0	0	7	0	2	1	9	1	4	2	7	2
Standard B	0	11	0	4	0	9	0	2	1	6	1	11	2
Drop B	0	11	0	6	0	11	0	4	1	8	1	1	2
Open A	0	4	0	9	0	4	1	9	1	1	2	4	2
A minor	0	4	0	9	0	4	1	9	1	0	2	4	2
Open G	0	2	0	7	0	2	1	7	1	11	1	2	2
G minor	0	2	0	7	0	2	1	7	1	10	1	2	2
G6th	0	2	0	7	0	2	1	7	1	11	1	4	2
G Wahine	0	2	0	7	0	2	1	6	1	11	1	2	2
Gadd11	0	2	0	7	0	2	1	7	1	11	1	0	2
G major	0	7	0	11	0	2	1	7	1	11	1	2	2
Stanard F	0	5	0	10	0	4	1	8	1	0	1	5	1
Open F	0	5	0	0	1	5	1	9	1	0	1	5	2
F minor	0	5	0	0	0	5	1	8	1	0	1	5	2
F major	0	5	0	9	0	0	1	5	1	9	1	0	2
